27/12/2018 0707:1212:5858:	testing
27/12/2018 0707:1212:1010:	testing
27/12/2018 0707:1212:1010:	testing
27/12/2018 0707:1212:1010:	testing
27/12/2018 0707:1212:1010:	testing
27/12/2018 0707:1212:4040:	testing
27/12/2018 0707:1212:4040:	testing
27/12/2018 0707:1212:4040:	testing
27/12/2018 0707:1212:4040:	testing
27/12/2018 19:45:10:	testing
27/12/2018 19:45:10:	testing
27/12/2018 19:45:10:	testing
27/12/2018 19:45:10:	testing
27/12/2018 19:45:40:	testing
27/12/2018 19:45:40:	testing
27/12/2018 19:45:40:	testing
27/12/2018 19:45:40:	testing
27/12/2018 19:46:10:	testing
27/12/2018 19:46:10:	testing
27/12/2018 19:46:10:	testing
27/12/2018 19:46:10:	testing
getConn	27/12/2018 19:46:40:	testing
getConn	27/12/2018 19:46:40:	testing
getConn	27/12/2018 19:46:40:	testing
getConn	27/12/2018 19:46:40:	testing
getConn	27/12/2018 19:47:10:	testing
getConn	27/12/2018 19:47:10:	testing
getConn	27/12/2018 19:47:10:	testing
getConn	27/12/2018 19:47:10:	testing
27/12/2018 19:47:40	getTransactionByAddress->getConn	:	testing
27/12/2018 19:47:40	getCurrency->getConn	:	testing
27/12/2018 19:47:40	getCurrency->getConn	:	testing
27/12/2018 19:47:40	getCurrency->getConn	:	testing
27/12/2018 19:48:10	getTransactionByAddress->getConn	:	testing
27/12/2018 19:48:10	getCurrency->getConn	:	testing
27/12/2018 19:48:10	getCurrency->getConn	:	testing
27/12/2018 19:48:10	getCurrency->getConn	:	testing
27/12/2018 19:48:40	getTransactionByAddress->getConn	:	testing
27/12/2018 19:48:40	getCurrency->getConn	:	testing
27/12/2018 19:48:40	getCurrency->getConn	:	testing
27/12/2018 19:48:40	getCurrency->getConn	:	testing
27/12/2018 19:49:10	getTransactionByAddress->getConn	:	testing
27/12/2018 19:49:10	getCurrency->getConn	:	testing
27/12/2018 19:49:10	getCurrency->getConn	:	testing
27/12/2018 19:49:10	getCurrency->getConn	:	testing
27/12/2018 19:49:40	getTransactionByAddress->getConn	:	testing
27/12/2018 19:49:40	getCurrency->getConn	:	testing
27/12/2018 19:49:40	getCurrency->getConn	:	testing
27/12/2018 19:49:40	getCurrency->getConn	:	testing
27/12/2018 19:50:10	getTransactionByAddress->getConn	:	testing
27/12/2018 19:50:10	getCurrency->getConn	:	testing
27/12/2018 19:50:10	getCurrency->getConn	:	testing
27/12/2018 19:50:10	getCurrency->getConn	:	testing
27/12/2018 19:50:40	getTransactionByAddress->getConn	:	testing
27/12/2018 19:50:40	getCurrency->getConn	:	testing
27/12/2018 19:50:40	getCurrency->getConn	:	testing
27/12/2018 19:50:40	getCurrency->getConn	:	testing
27/12/2018 19:51:10	getTransactionByAddress->getConn	:	testing
27/12/2018 19:51:10	getCurrency->getConn	:	testing
27/12/2018 19:51:10	getCurrency->getConn	:	testing
27/12/2018 19:51:10	getCurrency->getConn	:	testing
27/12/2018 19:51:40	getTransactionByAddress->getConn	:	testing
27/12/2018 19:51:40	getCurrency->getConn	:	testing
27/12/2018 19:51:40	getCurrency->getConn	:	testing
27/12/2018 19:51:40	getCurrency->getConn	:	testing
27/12/2018 19:52:10	getTransactionByAddress->getConn	:	testing
27/12/2018 19:52:10	getCurrency->getConn	:	testing
27/12/2018 19:52:10	getCurrency->getConn	:	testing
27/12/2018 19:52:10	getCurrency->getConn	:	testing
27/12/2018 19:52:40	getTransactionByAddress->getConn	:	testing
27/12/2018 19:52:40	->getReceivedByAccount	:	
27/12/2018 19:52:40	getCurrency->getConn	:	testing
27/12/2018 19:52:40	->getReceivedByAccount	:	
27/12/2018 19:52:40	getCurrency->getConn	:	testing
27/12/2018 19:52:40	getCurrency->getConn	:	testing
27/12/2018 19:53:10	getTransactionByAddress->getConn	:	testing
27/12/2018 19:53:10	->getReceivedByAccount	:	
27/12/2018 19:53:10	getCurrency->getConn	:	testing
27/12/2018 19:53:10	->getReceivedByAccount	:	
27/12/2018 19:53:10	getCurrency->getConn	:	testing
27/12/2018 19:53:10	getCurrency->getConn	:	testing
27/12/2018 19:53:40	getTransactionByAddress->getConn	:	testing
27/12/2018 19:53:40	->getReceivedByAccount	:	
27/12/2018 19:53:40	getCurrency->getConn	:	testing
27/12/2018 19:53:40	->getReceivedByAccount	:	
27/12/2018 19:53:40	getCurrency->getConn	:	testing
27/12/2018 19:53:40	getCurrency->getConn	:	testing
27/12/2018 19:54:10	getTransactionByAddress->getConn	:	testing
27/12/2018 19:54:10	->getReceivedByAccount	:	
27/12/2018 19:54:10	getCurrency->getConn	:	testing
27/12/2018 19:54:10	->getReceivedByAccount	:	
27/12/2018 19:54:10	getCurrency->getConn	:	testing
27/12/2018 19:54:10	getCurrency->getConn	:	testing
27/12/2018 19:54:40	getTransactionByAddress->getConn	:	testing
27/12/2018 19:54:40	->getReceivedByAccount	:	
27/12/2018 19:54:40	getCurrency->getConn	:	testing
27/12/2018 19:54:40	->getReceivedByAccount	:	
27/12/2018 19:54:40	getCurrency->getConn	:	testing
27/12/2018 19:54:40	getCurrency->getConn	:	testing
27/12/2018 19:55:10	getTransactionByAddress->getConn	:	testing
27/12/2018 19:55:10	->getReceivedByAccount	:	
27/12/2018 19:55:10	getCurrency->getConn	:	testing
27/12/2018 19:55:10	->getReceivedByAccount	:	
27/12/2018 19:55:10	getCurrency->getConn	:	testing
27/12/2018 19:55:10	getCurrency->getConn	:	testing
27/12/2018 19:55:40	getTransactionByAddress->getConn	:	testing
27/12/2018 19:55:40	->getReceivedByAccount	:	
27/12/2018 19:55:40	getCurrency->getConn	:	testing
27/12/2018 19:55:40	->getReceivedByAccount	:	
27/12/2018 19:55:40	getCurrency->getConn	:	testing
27/12/2018 19:55:40	getCurrency->getConn	:	testing
27/12/2018 19:56:10	getTransactionByAddress->getConn	:	testing
27/12/2018 19:56:10	->getReceivedByAccount	:	
27/12/2018 19:56:10	getCurrency->getConn	:	testing
27/12/2018 19:56:10	->getReceivedByAccount	:	
27/12/2018 19:56:10	getCurrency->getConn	:	testing
27/12/2018 19:56:10	getCurrency->getConn	:	testing
27/12/2018 19:56:40	getTransactionByAddress->getConn	:	testing
27/12/2018 19:56:40	->getReceivedByAccount	:	
27/12/2018 19:56:40	getCurrency->getConn	:	testing
27/12/2018 19:56:42	->getReceivedByAccount	:	
27/12/2018 19:56:42	getCurrency->getConn	:	testing
27/12/2018 19:56:42	getCurrency->getConn	:	testing
27/12/2018 19:57:10	getTransactionByAddress->getConn	:	testing
27/12/2018 19:57:10	->getReceivedByAccount	:	
27/12/2018 19:57:10	getCurrency->getConn	:	testing
27/12/2018 19:57:10	->getReceivedByAccount	:	
27/12/2018 19:57:10	getCurrency->getConn	:	testing
27/12/2018 19:57:10	getCurrency->getConn	:	testing
27/12/2018 19:57:40	getTransactionByAddress->getConn	:	testing
27/12/2018 19:57:40	->getReceivedByAccount	:	
27/12/2018 19:57:40	getCurrency->getConn	:	testing
27/12/2018 19:57:40	->getReceivedByAccount	:	
27/12/2018 19:57:40	getCurrency->getConn	:	testing
27/12/2018 19:57:40	getCurrency->getConn	:	testing
27/12/2018 19:58:10	getTransactionByAddress->getConn	:	testing
27/12/2018 19:58:10	->getReceivedByAccount	:	
27/12/2018 19:58:10	getCurrency->getConn	:	testing
27/12/2018 19:58:10	->getReceivedByAccount	:	
27/12/2018 19:58:10	getCurrency->getConn	:	testing
27/12/2018 19:58:10	getCurrency->getConn	:	testing
27/12/2018 19:58:40	getTransactionByAddress->getConn	:	testing
27/12/2018 19:58:40	->getReceivedByAccount	:	
27/12/2018 19:58:40	getCurrency->getConn	:	testing
27/12/2018 19:58:40	->getReceivedByAccount	:	
27/12/2018 19:58:40	getCurrency->getConn	:	testing
27/12/2018 19:58:40	getCurrency->getConn	:	testing
27/12/2018 19:59:10	getTransactionByAddress->getConn	:	testing
27/12/2018 19:59:10	->getReceivedByAccount	:	
27/12/2018 19:59:10	getCurrency->getConn	:	testing
27/12/2018 19:59:10	->getReceivedByAccount	:	
27/12/2018 19:59:10	getCurrency->getConn	:	testing
27/12/2018 19:59:10	getCurrency->getConn	:	testing
27/12/2018 19:59:40	getTransactionByAddress->getConn	:	testing
27/12/2018 19:59:40	->getReceivedByAccount	:	
27/12/2018 19:59:40	getCurrency->getConn	:	testing
27/12/2018 19:59:40	->getReceivedByAccount	:	
